Observation,StateDate,Meal
212,Oklahoma 14 October 2010,"A medium stuffed-crust pizza from Pizza Hut with mushrooms, bell peppers, black olives and jalapenos, a Dr Pepper, coconut cream pie, and a chocolate shake."
213,Oklahoma 14 January 2010,"Sirloin steak, a baked potato, onion rings, a tossed salad and a Coke."
214,Oklahoma 14 May 2009,"Cheeseburger, chili-cheese french fries and a chocolate shake from Chili's restaurant."
215,Oklahoma 09 June 2009,"T-bone steak, french fries and a large salad."
216,Oklahoma 22 January 2009,"Barbecue ribs, chopped beef, hot links, baked beans, plain potato chips, coconut doughnuts and chocolate milk."
217,Oklahoma 25 September 2008,"Bucket of KFC chicken, eight additional drumsticks and a chocolate milkshake."
218,Oklahoma 26 June 2007,"Hot and spicy chicken breast, two slices of sausage pizza with extra cheese, a slice of German chocolate cake, a pint of French vanilla ice cream and a Dr. Pepper."
219,Oklahoma 21 August 2007,Large super supreme pizza and a two-liter bottle of Coke.
220,Oklahoma 09 January 2007,"Combination barbecue platter, with chicken, chopped brisket, ribs and hot links, barbecue sauce, a large order baked beans and extra bread."
221,Oklahoma 31 August 2006,"Fried chicken, mashed potatoes and gravy, corn on the cob, biscuits, Dr Pepper and an apple pie."
222,Oklahoma 29 August 2006,Large pepperoni pizza with sausage and extra mushrooms and a large grape soda.
223,Oklahoma 01 June 2006,"Kentucky Fried Chicken (original recipe), potato wedges, baked beans, cole slaw, an apple turnover and a dinner roll."
224,Oklahoma 18 April 2006,"Chicken dinner, potato wedges, apple pie and a Pepsi from Kentucky Fried Chicken."
225,Oklahoma 29 January 2002,"Italian dinner with spaghetti, meatball, ravioli, sausage, garlic bread and salad, strawberry cheesecake, and 7-Up."
226,Oklahoma 06 December 2001,"One chicken, two cans of olives, grapes, and one palmagranite."
227,Oklahoma 18 October 2001,"Double cheeseburger, onion rings, French fries, vanilla milkshake, and a hot fudge sundae."
228,Oklahoma 28 August 2001,"Shrimp fettuccini alfredo, salad, garlic bread, 1 slice of strawberry cheesecake, and iced tea sweetened with sugar."
229,Oklahoma 17 July 2001,"1 vanilla malt, 2 large hamburgers, 1 large cheeseburger, 2 orders of fries, 16 ounce Dr. Pepper."
230,Oklahoma 29 May 2001,"Fish, hushpuppies, chips, French fries, dip & sauce, strawberry malt, strawberry shortcake with whipped cream, and 7-Up."
231,Oklahoma 22 May 2001,"1 Bacon cheeseburger, 3 Pounder Pizza, and 1 banana malt."
232,Oklahoma 01 May 2001,"1 chicken taco salad, 1 Mexican pizza, Encharitos, 2 soft tacos, 1order Cinnamon Twists, 1 piece pecan pie, 2 cans of Coca-Cola."
233,Oklahoma 27 March 2001,1 cracker and grape juice.
234,Oklahoma 01 March 2001,"Shrimp, fish, oysters, tarter sauce, 32 ounce cream soda, 1 strawberry cheese cake."
235,Oklahoma 01 February 2001,"8 pieces of chicken, hot rolls, and 2 Diet Cokes."
236,Oklahoma 30 January 2001,"1 bacon cheeseburger, 1 order onion rings, 1 order French fries, 1 pint Chocolate Chuck frozen custard, 1 piece pecan pie, 1 cherry limeade, and catsup."
237,Oklahoma 23 January 2001,"2 orders onion rings, 1 cheeseburger, bacon cheeseburger, 1 grilled chicken sandwich, and 1 medium cherry limeade."
238,Oklahoma 18 January 2001,2 large pepperoni pizzas and strawberry ice cream.
239,Oklahoma 16 January 2001,"13 ounce box Cocoa Pebbles, 1/2 gallon milk, 3 glazed donuts with chocolate icing, 3 glazed donuts with maple icing, 1 Big Mac, 1 large order of fries with ketchup, 1 Oreo McFlurry, 1 quarter pounder with cheese."
240,Oklahoma 09 January 2001,"Fried chicken, potatoes with onions, sweet potato pie, hot rolls, and Coke."
241,Oklahoma 10 August 2000,"8 pieces of KFC chicken, 4 biscuits, 1 pint of Braum's frozen custard."
242,Oklahoma 20 July 2000,"Chef salad with Italian dressing, BBQ beef or pork, hot fudge sundae."
243,Oklahoma 15 June 2000,"Fried shrimp, salad, German chocolate cake, ""Tin Roof Sundae"" ice cream, apple fritter, and strawberry drink."
244,Oklahoma 08 June 2000,"2 bacon cheeseburgers, onion rings, chocolate ice cream, root beer."
245,Oklahoma 27 April 2000,"Catfish, French fries, plums, grapes, strawberry shortcake, and Sprite Soda."
246,Oklahoma 10 February 2000,"BBQ beef ribs, 6 dinner rolls, Cornish hen, hamburger with cheese, strawberry drink, and 7-Up."
247,Oklahoma 06 January 2000,"3 fried chicken thighs, 10-15 shrimp, Tater Tots with catsup, 2 slices of pecan pie, strawberry ice cream, honey and biscuits, and Coke."
248,Oklahoma 08 July 1999,"6 Tacos, 6 glazed donuts, and a Cherry Coke."
249,Oregon 16 May 1997,"2 green apples, 2 red apples, 4 soda pop (the largest), and any good fruit."
250,Oregon 06 September 1996,"5 fried eggs (Sunnyside-up), hash browns, bacon strips (crisp), stack of pancakes with syrup, hot coffee, milk, and cold orange juice."
251,Pennsylvania 02 May 1995,"2 cheeseburgers, 2 fries, chocolate milk, and chocolate pudding."
252,South Dakota 11 July 2007,"Steak with A-1 sauce, jalapeno poppers with cream sauce, onion rings, and a salad with cherry tomatoes, ham chunks, shredded cheese, bacon bits, and blue cheese and ranch dressing, lemon iced tea and coffee to drink and ice cream for dessert."
253,South Carolina 08 May 2009,Pizza and donuts.
254,South Carolina 20 February 2009,"Fried chicken, fried turkey, steak, a baked potato with sour cream and butter, a tossed salad, cranberry sauce, ketchup and peach cobbler."
255,South Carolina 05 December 2008,No final meal request.
256,South Carolina 22 June 2007,"T-bone steak, well done with A-1 Steak sauce, baked potato, french fries, grape drink and chocolate cake."
257,South Carolina 14 June 2006,"Salted cashew nuts, instant french roast coffee, chocolate chip cookie dough, moose tracks ice cream and three Mr. Goodbar candy bars."
258,South Carolina 28 May 2004,"Pizza, Mountain Dew, and 2 bacon, lettuce, and tomato sandwiches."
259,South Carolina 23 April 2004,"Steak, mashed potatoes, green beans, collard greens, corn bread, banana pudding, cherry cheesecake, apple cobbler and sweet ice tea."
260,South Carolina 16 April 2004,"Steak, jumbo shrimp, broccoli with cheese, french fries, lemon meringue pie, and ice tea."
261,South Carolina 18 March 2004,Asked for a bottle of Dom Perignon (didn<U+0092>t receive it).
262,Tennessee 02 December 2009,Refused a final meal.
263,Tennessee 04 February 2009,"Final meal request of a seafood plate of shrimp, fish, oysters, onion rings and hush puppies."
264,Tennessee 12 September 2007,"No final meal request. Ate what was served to the other inmates: riblets on a bun, mixed vegetables, baked beans, white cake with white icing and iced tea."
265,Tennessee 09 May 2007,Declined a meal to eat (requested a vegetarian pizza be given to a homeless person. Request denied. The public then sent a total of 170 pizzas to area shelters).
266,Tennessee 28 June 2006,"Final meal of pizza pockets, ice cream, iced oatmeal cookies and milk."
267,Tennessee 19 April 2000,"Fried catfish, white beans, hush puppies, Cole slaw, French fries, sweetened ice tea, and pecan pie."
268,Texas 26 January 2012,Not allowed a special meal. Declined the standard prison fare.
269,Texas 16 November 2011,Not allowed a special meal. Declined the standard prison fare and ate nothing.
270,Texas 27 October 2011,First Texas inmate not allowed a special meal. Served standard prison meal.
271,Texas 21 September 2011,"Two chicken-fried steaks, one pound of barbecued meat, a triple-patty bacon cheeseburger, a meat-lover's pizza, three fajitas, an omelet, a bowl of okra, one pint of Blue Bell Ice Cream, some peanut-butter fudge with crushed peanuts and three root beers (after inmate didn<U+0092>t eat any of this meal, Texas ends final meal request option)."
272,Texas 22 February 2011,"Fried chicken, french fries, lemon cake, root beer and Sprite."
273,Texas 15 February 2011,"Fried, barbecued, and baked chicken, pizza, brownies, sweet iced tea, milk and vanilla pudding."
274,Texas 21 October 2010,"10 fried chicken legs, 10 chicken wings, mashed potatoes, greens, rice pudding, tea (very sweet) and banana pudding."
275,Texas 17 August 2010,"Enchiladas, fajitas and a cinnamon bun."
276,Texas 20 July 2010,"Fried chicken (2 legs, 2 thighs), BBQ ribs, French fries, German chocolate cake, 2 bananas, Ice water, and Ketchup and BBQ sauce."
277,Texas 01 July 2010,"Three bacon, egg, cheese omelet, three chicken cheese enchiladas and 3 each of Pepsi, Coke and Dr. Pepper."
278,Texas 15 June 2010,"Four eggs, four chicken drumsticks, salsa, four jalapeno peppers, lettuce, tortillas, hashbrowns, garlic bread, two pork chops, white and yellow grated cheese, sliced onions and tomatoes, a pitcher of milk and a vanilla shake."
279,Texas 02 June 2010,"Pizza, oatmeal cookies, French fries and sweet tea."
280,Texas 27 May 2010,"Chicken leg quarters, french fries, American cheese, orange drink, coffee and chocolate pudding."
281,Texas 25 May 2010,"4 pieces of crispy fried chicken (2 thighs and 2 breasts), 4 fried pork chops (well done), 6 cheese enchiladas (2 beef, 2 cheese, 2 pork), 1 bowl of pico de gallo and a bottle of ketchup, onion rings, salad, 1 onion, 6 slices of white bread, 6 cold Cokes."
282,Texas 19 May 2010,"Seven beef-and-cheese enchiladas, pico de gallo, two cheeseburgers, fries and two pieces of fried chicken."
283,Texas 13 May 2010,Two BLTs; 1 bacon cheeseburger; French fries and ketchup; chocolate cake; 2 servings of milk; and 2 Mountain Dews.
284,Texas 12 May 2010,"Five white meat pieces of deep fried chicken, ranch dressing, tater tots, deep fried mushrooms, two double cheeseburgers and French fries, six Mountain Dews, a pint of chocolate overload ice cream and pepper jack cheese."
285,Texas 27 April 2010,"Four fried chicken legs and thigh quarters, macaroni and cheese, fried okra, jalapeno peppers, 10 flour tortillas and a six pack of cola."
286,Texas 22 April 2010,"Two BLT cheeseburgers, two jalape<f1>o cheeseburgers, fried okra, french fries with ketchup and mustard, brownies, chocolate and vanilla ice cream, and three root beers."
287,Texas 30 March 2010,None.
288,Texas 11 March 2010,"Six pieces of fried chicken with ketchup, three bacon cheeseburgers, six red Mountain Dews, a brownie, and french fries."
289,Texas 02 March 2010,Deep-fried burritos and chocolate pudding.
290,Texas 12 January 2010,"Po-boy sandwich, milk chocolate, Coke or Dr. Pepper and a cherry or apple pastry."
291,Texas 07 January 2010,"Assortment of fried foods, including three pieces of chicken, two pork chops, a cheeseburger, 10 pieces of bacon, french fries, okra, green tomatoes and apple cobbler, served at 4pm."
292,Texas 03 December 2009,"Two chicken-fried steaks, two fried chicken breasts, three fried pork chops, two hamburgers with lettuce, tomato, onion and salad dressing, four slices of bread, half a pound of fried potatoes with onion, half a pound of onion rings with ketchup, half a pan of chocolate cake with icing and two pitchers of milk."
293,Texas 19 November 2009,"Fried chicken, french fries, onion rings, fried okra, jalapeno pepper and milk."
294,Texas 18 November 2009,"Four pieces of fried chicken, biscuits and gravy and milk."
295,Texas 10 November 2009,"Four hamburgers (almosted burned), potato fries (almost burned), mexican rice (almost burned), fresh onion, jalapenos, tomato, cheese, and salad dressing."
296,Texas 05 November 2009,"Fried chicken, a pint of chocolate ice cream and coffee."
297,Texas 27 October 2009,Had no final meal request.
298,Texas 22 September 2009,Had no final meal request.
299,Texas 16 September 2009,Had no final meal request.
300,Texas 02 June 2009,"Fried chicken, pork chops, a cheeseburger, breaded fried okra, french fries and brownies."
301,Texas 19 May 2009,"Two fried chicken quarters, two fried pork chops, one bowl of peaches, one order of fries and a salad."
302,Texas 30 April 2009,Had no final meal request.
303,Texas 15 April 2009,"Six beef enchiladas with cheese and jalapenos, one bowl of rice, one bowl of beans, diced lettuce and tomato, four pieces of fried chicken with three biscuits, one bowl of mashed potatoes, one vanilla cake with vanilla icing, one double-bacon jalapeno cheeseburger with no onions and a side of fries, one pint of sherbert, two glasses of Mountain Dew and two glasses of cold milk."
304,Texas 04 March 2009,"Fried chicken, fried okra, white cake with lemon icing and lemonade."
305,Texas 03 March 2009,"Two fried chicken legs, two fried chicken thighs, macaroni and cheese, biscuits, peach cobbler and lemonade."
306,Texas 12 February 2009,"Four pieces or fried chicken breast, two chicken fried steaks, 20 fried shrimps, four fried eggs with no yoke, two golden brown biscuits with butter and honey, two gallons of black coffee with cream and sugar and two hand size pieces of peanut brittle candy."
307,Texas 10 February 2009,"Two spicy fried leg quarters, french fries and ketchup and two spicy fried pork chops."
308,Texas 04 February 2009,No final meal request.
309,Texas 29 January 2009,No final meal request.
310,Texas 28 January 2009,"Two fried chicken breast, two pork chops, seven flour tortillas, avocados and french fries."
311,Texas 22 January 2009,"Twenty-four hot bbq chicken wings, two cheeseburgers with everything, four slices of pizza with jalapenos, three slices of buttered toast, one sweet potato pie, sherbert rainbow ice cream and twelve Dr. Pepper/ Big Red."
312,Texas 21 January 2009,No final meal request.
313,Texas 14 January 2009,No final meal request.
314,Texas 20 November 2008,"Fried chicken legs and thighs, sirloin steak, corn on the cob, banana pudding, peach cobbler, chocolate chip ice cream, grape soda and milk."
315,Texas 12 November 2008,"Four fried chicken thighs, french fries with ketchup and hot sauce on the side, peach cobbler, two pints of vanilla ice cream and orange juice."
316,Texas 06 November 2008,"Fried chicken quarters, two dozen fried shrimp, two-and-half pounds of onion rings and fries, turkey salad with onion, peppers and cherry tomatoes with blue cheese dressing, salt, pepper and garlic powder, half-dozen soft onion rolls with assorted cheeses, chilled apple juice and milk (one of two executions this date)."
317,Texas 06 November 2008,"Spam and cheese, a three-layer white icing cake, a salad, french fries and three bananas (two of two executions this date)."
318,Texas 29 October 2008,"Two double cheese burgers with everything, 2 baked potatoes with butter, large salad with ranch dressing, 1 pitcher of milk, any dessert, and 4 dinner rolls."
319,Texas 28 October 2008,"Grilled cheeseburger, four fish patties, six hard boiled eggs and coffee."
320,Texas 21 October 2008,No final meal request.
321,Texas 16 October 2008,No final meal request.
322,Texas 14 October 2008,A final meal request of the Lord's Supper.
323,Texas 17 September 2008,"Ten chili cheese enchiladas, a cheese pizza, one cheeseburger and sweet tea."
324,Texas 14 August 2008,"Final meal request of a spicy fried chicken breast, grilled pork steak with grilled onions, a bacon cheeseburger with everything, a fresh garden salad with French dressing and French fries with ketchup."
325,Texas 12 August 2008,No final meal request.
326,Texas 07 August 2008,No final meal request.
327,Texas 05 August 2008,No final meal request.
328,Texas 31 July 2008,Hamburger with cheese and jalapenos and a vanilla shake.
329,Texas 23 July 2008,No final meal request.
330,Texas 10 July 2008,"Fried chicken, a cheese and onion omelets and chocolate cake."
331,Texas 11 June 2008,"A variety of fresh fruit and vegetables, cheese, lunch meat, deviled eggs, six fried cheese-stuffed jalapenos, a chef salad with ranch dressing, onion rings, french fries, a cheeseburger, two fried chicken breasts, barbecue pork rolls, an omelet, milk and orange juice."
332,Texas 20 September 2007,"Bacon cheeseburger with jalapenos, french fries, two slices of apple pie with vanilla ice cream and sweetened iced tea."
333,Texas 05 September 2007,"Two bacon cheeseburgers with onions, two chili-cheese hot dogs with onions, French fries, two fudge nut brownies and sweet tea."
334,Texas 29 August 2007,No final meal request.
335,Texas 28 August 2007,No final meal request.
336,Texas 22 August 2007,No final meal request.
337,Texas 15 August 2007,No final meal request.
338,Texas 24 July 2007,No final meal request.
339,Texas 26 June 2007,"Fried pork chops and chicken, garlic toast and ice cream"
340,Texas 21 June 2007,"Bbq turkey legs and bbq brisket, a bowl of cheddar cheese and avocados."
341,Texas 20 June 2007,No final meal request.
342,Texas 06 June 2007,Breakfast food including fried eggs.
343,Texas 06 March 2007,"Five pieces of fried chicken, one double meat hamburger with cheese and onion, onion rings, three cheese and onion enchiladas, one onion, french fries, hot sauce, pico de gallo, jalapeno peppers and two cokes."
344,Texas 27 February 2007,"One piece of fried chicken, one BLT sandwich, two enchiladas, ketchup, cinnamon roll and iced tea."
345,Texas 22 February 2007,"Boiled eggs, pork chops, fried chicken, tacos, fried okra, potato salad, french fries, bacon, baked potatoes, sour cream, sliced onions, jalapeno peppers, pickles, cabbage, tomatoes, and sprite soda."
346,Texas 07 February 2007,"Four pieces of fried chicken (dark meat), fried okra, french fries, salad with blue cheese, four hardboiled eggs with cheese, one pint butter pecan ice cream, two honey buns, two cokes."
347,Texas 30 January 2007,"Steak, medium-well with A-1 sauce, salad with ranch dressing, cheddar cheese and bacon bits, baked potato with sour cream, two slices of apple pie, three large rolls, two cokes and one cup of coffee (steak is not an option in Texas prisons, ground beef served instead)."
348,Texas 17 January 2007,"Kraft Cheese & Macaroni, Beef Flavored Rice-A-Roni."
349,Texas 10 January 2007,"Fried chicken, pizza and soda."
350,Texas 09 January 2007,"Combination barbecue platter, with chicken, chopped brisket, ribs and hot links, barbecue sauce, a large order baked beans and extra bread."
351,Texas 08 November 2006,No final meal request.
352,Texas 01 November 2006,"Two double-meat bacon burgers, bbq ribs, freedom fries, onion rings, root beer soda, banana split ice cream and peach cobbler."
353,Texas 25 October 2006,"Salad, onion rings, chili dogs, and sweet iced tea."
354,Texas 12 September 2006,Four olives and a bottle of wild-berry flavored water.
355,Texas 31 August 2006,No final meal request.
356,Texas 24 August 2006,No final meal request.
357,Texas 17 August 2006,"Chef salad with ranch dressing, 12 pieces of fried chicken, five jalapeno nachos with chili cheese, four fried eggs over easy, French fries, onion rings, six Cokes, 6 Big Reds, and ketchup."
358,Texas 03 August 2006,No final meal request.
359,Texas 20 July 2006,"Lasagna, mashed potatoes with gravy, beets, green beans, fried okra, two pints of mint chocolate chip ice cream, a fruit pie, tea and lemonade."
360,Texas 19 July 2006,"Fifteen enchiladas heavy with cheese and onions, onion rings or fries, eight pieces fried chicken and eight pieces bbq chicken, eight whole peppers, ten hard shell tacos with plenty of meat, cheese, onions and sauce, four double meat-double cheese-double bacon burgers, a boneless T-bone steak with A1 Steak Sauce and a pan of peach cobbler."
361,Texas 11 July 2006,No final meal request.
362,Texas 27 June 2006,No final meal request.
363,Texas 26 June 2006,No final meal request.
364,Texas 24 May 2006,A full meal of enchiladas.
365,Texas 17 May 2006,"Sirloin steak, spicy worcestershire sauce, a bacon cheeseburger w/ten slices of bacon, onion rings and fries w/cheese, french dressing, a butterfinger blizzard w/carmel, pecan pie, vanilla ice cream and peach cobbler."
366,Texas 04 May 2006,"Cheeseburger, onion rings, a beef enchilada, tea, Coca-Cola, a whole onion, a whole tomato and lemon pie."
367,Texas 29 March 2006,No final meal request.
368,Texas 22 March 2006,"Dozen tamales, six brownies, refried beans with chorizo, two rollo candies, six hard shell tacos with lettuce, three big red sodas, ketchup, hot sauce, six jalapeno peppers, tomatoes, cheese, and extra ground beef."
369,Texas 15 March 2006,"Six pieces of fried chicken with hot sauce, six jalapeno peppers, extra large french fries with ketchup and salt, for buttered rolls or biscuits, two large sprites and two cigarettes (menthol preferred)."
370,Texas 15 February 2006,One cheeseburger.
371,Texas 08 February 2006,"Chicken fried steak, mashed potatoes with gravy, fried okra, bread with butter, mixed fresh veggies, donuts, chocolate cake with icing and sweet tea."
372,Texas 31 January 2006,"Fried chicken, onion rings, French fries, two bowls of peach cobbler, two milk shakes and two glasses of orange juice."
373,Texas 25 January 2006,No final meal request.
374,Texas 13 June 2002,"Tray of french fries with salt, ketchup, 1 tray of nachos with cheese & jalapenos, 1 cheeseburger with mustard & everything, 1 pitcher of sweet tea."
375,Texas 30 May 2002,"2 16 oz. Ribeyes, 1 lb. turkey breast, 12 bacon strips, 2 hamburgers with mayo, onion & lettuce, 2 large baked potatoes, butter, sour cream, cheese, & chives, 4 slices of cheese or 1/2 lb. of grated cheddar cheese, chef salad, blue cheese dressing, 2 corn on the cob, 1 pt. mint chocolate chip ice cream, 4 vanilla Cokes or Mr. Pibb (served ground beef instead of steak)."
376,Texas 16 May 2002,"Mexican platter with all the works, 2 Classic Cokes, pickles, olives, Cookies 'n Cream ice cream."
377,Texas 09 May 2002,"4 pieces of fried chicken, 2 Cokes."
378,Texas 30 April 2002,"2 double meat cheeseburgers (all the way), french fries, 3 beef skirt tacos, guacamole salad, salt, 2 fried chicken breasts."
379,Texas 18 April 2002,"Fried chicken (3 drumsticks & 3 thighs), 1 quart coleslaw, tea or juice, vanilla ice cream, 1 Dr. Pepper."
380,Texas 10 April 2002,"12 pieces of fried chicken, mashed potatoes with brown gravy, 2 rolls with butter, 2 Pepsi, 1 pint of strawberry ice cream, 1 pint of vanilla ice cream."
381,Texas 07 March 2002,"Fried chicken, french fries, ketchup, 2 cheeseburgers (all the way), bag of potato chips, apple cobbler, white cake with white icing, pitcher of lemonade, pitcher of Sprite."
382,Texas 31 January 2002,"Chef salad with Ranch dressing, double meat cheese burger (all the way), french fries, ketchup, chocolate shake."
383,Texas 30 January 2002,"Smothered chicken & rice, pinto beans with salt pork, corn, homemade rolls, pecan pie, pitcher of root beer."
384,Texas 12 December 2001,"12 pieces of chicken (thighs & drumsticks), 2 double-meat cheeseburgers on toasted buns, 1 large plate of brown french fries, ketchup, 2 large onions (cut in slices), 6 sweet pickles, salad dressing, 5 sliced jalapeno peppers, peach cobbler with extra crust, milk."
385,Texas 14 November 2001,"6 pieces of fried chicken, potato salad with mustard, macaroni & cheese, 8 cinnamon rolls, 1 pint of vanilla ice cream, pitcher of milk, ketchup."
386,Texas 22 October 2001,1 bag of assorted Jolly Ranchers.
387,Texas 18 September 2001,"Western omelet, fried potatoes, sliced tomato, pan sausage, 3 biscuits, white gravy, pitcher of vanilla milkshake, half a cantaloupe"
388,Texas 16 August 2001,"8 soft fried eggs (yellow runny), big bowl of grits, 5 biscuits with bowl of butter, 5 pieces of fried hard & crisp bacon, 2 sausage patties, pitcher of chocolate milk, 2 pts. vanilla Blue Bell ice cream, 2 bananas."
389,Texas 08 August 2001,Mexican dish with all the fixings.
390,Texas 11 July 2001,"6 scrambled eggs, hash browns with onions, 2 sausage patties, biscuits with butter, 2 pints of strawberry cheesecake yogurt, 2 pitchers of sweet milk, pint of strawberry ice cream."
391,Texas 26 Jun 2001,"Chocolate birthday cake with ""2/23/90"" written on top; 7 pink candles; 1 coconut; kiwi fruit juice, pineapple juice; 1 mango; grapes; lettuce; cottage cheese; peaches; 1 banana; 1 apple; chef salad without meat & with thousand island dressing; fruit salad; cheese; tomato slices."
392,Texas 13 June 2001,"Liver and onions, mashed potatoes & gravy, whole milk."
393,Texas 03 April 2001,"3 fried chicken quarters, fried squash, fried egg plant (sic), mashed potatoes, snap peas, boiled cabbage, 3 buttered corn on the cob, spinach, broccoli with cheese, pint of caramel pecan fudge or Tin Roof ice cream, pitcher of sweet tea."
394,Texas 07 March 2001,"1 dozen fried eggs, over easy, 1 loaf of bread, a bowl of salad dressing, french fries, 3 cartons of milk."
395,Texas 08 February 2001,"Double meat cheeseburger (all the way with jalapenos), french fries, ketchup, 3 enchiladas, 3 tacos, banana pudding with real bananas, 2 Dr. Peppers, 1 apple, 1 Snicker bar."
396,Texas 18 January 2001,"Chicken fried steak, baked potato stuffed with ground meat, cheese, jalapenos, large order of french fries, ketchup, 10 Cheese sticks, pitcher of grape juice, cheesecake with cherry topping."
397,Texas 09 January 2001,"Jar of polish pickles, small wedge of cheese, tossed salad with Italian dressing, cheeseburger with mayo (all the way), large order of french fries, ketchup, relish tray, pitcher of grape juice."
398,Texas 07 December 2000,"8 soft fried eggs, bacon, sausage, 1 T-bone steak (well-done), 6 slices of buttered toast with strawberry jelly, pitcher of cold milk."
399,Texas 05 December 2000,"2 grilled cheese sandwiches, french fries, ketchup, 2 boiled eggs, 2 cinnamon rolls with icing, 2 cans of grape juice, coffee."
400,Texas 15 November 2000,"5 chicken patties, 10 slices of cheese, 5 hamburger buns (mustard on each side), 2 sliced pickles (whole), 2 bags of Doritos, 2 cokes, 1 pint of Tin Roof ice cream."
401,Texas 14 November 2000,1 jar of dill pickles.
402,Texas 09 November 2000,"3 beef enchiladas with onions, 3 cheese enchiladas with onions, Spanish rice, bowl of jalapenos, french fries, cheeseburger all the way, bowl of mayonnaise, bowl of ketchup, bowl of pico de gallo, 3 Dr. Peppers, pitcher of ice, banana split ice cream, 4 quesadillas."
403,Texas 01 November 2000,"1 cheeseburger with American, cheddar, mozzarella cheese, no mayonnaise, mustard or onions, large french fries, bowl of macaroni & cheese, lasagna with 2 slices of garlic bread, 4 oz. of nacho cheese, 3 large cinnamon rolls, 5 scrambled eggs, 8 pints of chocolate milk."
404,Texas 27 September 2000,Chicken fried steak with white gravy; french fries with white gravy; lots of salt & pepper; sweet ice tea
405,Texas 23 August 2000,"Chef salad (any dressing except oil & vinegar), 2 bacon cheeseburgers all the way (cut the onions), deep fried home fries with chili powder on top, two scotch eggs (boiled and packed with sausage roll, battered & deep-fried & served with syrup), and pie."
406,Texas 22 August 2000,"2 bacon, lettuce and tomato sandwiches with cheese and mayonnaise (sic), 3 deep-fried chicken breasts, French fries with ketchup, pitcher of strawberry milkshake."
407,Texas 16 August 2000,"Double meat cheeseburger (all the way), mayonnaise and mustard, French fries, 3 scrambled eggs, vanilla milkshake."
408,Texas 09 August 2000,"Beef fajitas, spicy, beans, rice, flour tortillas, onions, tomatoes, avocado, banana split, orange juice (one of two executions this date)."
409,Texas 09 August 2000,"2 double cheeseburgers (all the way with mayo and mustard), fries, fried chicken, well done, chocolate cake, onion rings, 1 pint vanilla ice cream, six pack of Sprite (two of two executions this date)."
410,Texas 26 July 2000,"Chicken, 3 pieces of fish, burgers, pizza, fruit (grapes, plums, peaches, apples, tangerines), doughnuts, walnuts, chocolate candy bar, plain potato chips, picante sauce, hot sauce, salad with ranch dressing, Coke, and Sprite."
411,Texas 12 July 2000,"1/2 pound hamburger steak (well done), brown gravy, grilled onions, large order of deep french-fried fries, ketchup, 5 pieces of buttered grilled Texas toast, ice tea with real sugar, hot honey buns with melted butter on the side."
412,Texas 29 June 2000,"Pizza (beef, bacon bits, cheese), 10 quesadillas (5 mozzarella cheese, 5 cheddar cheese), 5 strips of open-flame grilled beef, 5 strips of stir-fried beef, chocolate peanut butter ice cream, sweet tea, double fudge chocolate cake, broccoli, and grapes."
413,Texas 15 June 2000,"Enchiladas, burritos, chocolate ice cream, whole cantaloupe (spilt in half)."
414,Texas 14 June 2000,"Fried chicken (2 thighs & wing), 1 pound of bacon, 16 ounce T-bone steak, Big Red, and coffee."
415,Texas 31 May 2000,"Double cheeseburger (all the way), fries."
416,Texas 25 May 2000,"3 chicken breasts (fried), fresh lettuce, cucumber salad with light vinegar salad dressing on the side, and ice water."
417,Texas 24 May 2000,"Beef fajita, blooming onion, fried chicken (white meat), jalapeno peppers, Caesar salad, bleu cheese dressing, bread rolls with butter, vanilla ice cream, 3 bananas, 1 Coke and a pot of coffee."
418,Texas 23 May 2000,"2 chicken patties with Swiss cheese, stuffed baked potato with jalapeno peppers, sour cream, milk."
419,Texas 11 May 2000,"Fresh skinless fried chicken (5 breasts, 20 wings), carrot cake, white coconut cake, and cheesecake with cherry topping."
420,Texas 09 May 2000,"1/2 dozen sunny side up fried eggs, 8 pieces of pan sausage, 6 slices of toast with butter and grape jelly, milk, and orange juice."
421,Texas 01 March 2000,"Justice, equality, world peace."
422,Texas 23 February 2000,"1 apple, 1 orange, 1 banana, coconut, and peaches."
423,Texas 27 January 2000,"3 fried eggs over easy, hash browns, several strips of bacon, toast, white bread, and orange juice."
424,Texas 25 January 2000,"Cheeseburger with lettuce, tomato, bacon, onion rings, and ketchup."
425,Texas 24 January 2000,"Two chicken-fried steaks with white gravy, French fries, 4 pieces of white bread, peaches, two Cokes."
426,Texas 20 January 2000,"Fish, fries, soda."
427,Texas 18 January 2000,"Double cheeseburger, French fries with onions and cheese, baked potato with sour cream, cheese, and butter, 2 fried pork chops, 3 beef enchiladas, and chocolate cake."
428,Texas 12 January 2000,"2 breaded pork chops, 3 scrambled eggs, French fries, milk."
429,Texas 15 December 1999,"1/2 lb. chitterlings, fried chicken (dark meat), 10 slices of bacon, 1 raw onion, fried shrimp, peach cobbler, 1 pitcher of milk."
430,Texas 14 December 1999,"Grilled chicken salad with ranch dressing nachos and cheese with picante, Cookies 'n Cream ice cream, and 2 root beers."
431,Texas 09 December 1999,"Fried catfish, fried chicken, French fries, onion rings, green salad, fresh carrots, and Coke."
432,Texas 08 December 1999,"4 bacon, lettuce, and tomato sandwiches, iced tea, and potato chips."
